entity_id,year,biomass,coal,geothermal,hydroelectric,landfill_gas,liquid_nat_gas,nat_gas,nuclear,petroleum_oil,solar,wave_and_tidal,wind
5001135,,,,,,,,,,,,,
5001246,,,,,,,,,,,,,
5001062,2012.0,2.0,2568.0,,30485.0,,,1927.0,,5.0,4.16,,237.84
5001062,2013.0,2.0,2312.0,,30943.0,,,1685.0,,32.0,88.04,,476.96
5001062,2014.0,2.0,1755.0,,31188.0,,,272.0,,3.0,126.44,,684.56
5001062,2015.0,2.0,1480.0,,28098.0,,,777.0,,,6.0,,876.0
5001062,2016.0,1.03,713.74,,30656.83,,,674.66,,,5.14,,853.61
5001062,2017.0,2.06,777.69,,30538.76,,,1512.8,,,,,979.31
5001062,2018.0,1.03,707.0,,29433.14,,,945.05,,,,,855.78
5001062,2019.0,,909.13,,31389.56,,,697.2,,,,,951.11
5001062,2020.0,,351.01,,31981.83,,,696.96,,,1.01,,937.39
5001062,2021.0,,1.01,,29625.18,,,1135.93,,,2.02,,847.15
4539460,2013.0,49.91,10480.09,,,,,,,,,,
4539460,2014.0,57.45,10032.55,,,,,,,,,,
4539460,2015.0,61.22,8978.78,,,,,,,,,,
4539460,2016.0,78.0,9192.0,,,,,,,,,,
4539460,2017.0,36.67,8353.33,,,,,,,,,,
4539460,2018.0,40.22,6009.78,,,,,,,,,,
4539460,2019.0,63.82,3336.18,,,,,,,,,,
4539460,2020.0,65.88,2594.12,,,,,,,,,,
