entity_id,year,absolute_ghg_scope_1,absolute_ghg_scope_2,intensity_ghg_scope_1,intensity_ghg_scope_2,exchange,is_eu,country
4056943,2015,2399999.077,15796.53219,208.2609404,1.370750798,NYSE,#N/A,United States
4056943,2016,2424499.955,16594.15402,204.2714561,1.398107679,NYSE,#N/A,United States
4056943,2017,2866188.149,18686.8707,232.645142,1.516791453,NYSE,#N/A,United States
4056943,2018,2439495.767,19145.19248,192.4651493,1.510468834,NYSE,#N/A,United States
4056943,2019,1400000,800000,113.388,64.793,NYSE,#N/A,United States
4056943,2020,1500000,700000,110.473,51.554,NYSE,#N/A,United States
4056943,2021,1000000,800000,67.092,53.673,NYSE,#N/A,United States
4056944,2004,43947586.46,6881.442192,3529.062074,0.552590907,NYSE,#N/A,United States
4056944,2005,46860177.37,6029.28382,3908.597662,0.502901311,NYSE,#N/A,United States
4056944,2006,46779621.21,5438.784225,4067.439458,0.472896637,NYSE,#N/A,United States
4056944,2007,51374847.06,5692.818446,4013.03289,0.44468196,NYSE,#N/A,United States
4056944,2008,55181402.58,5887.965832,4049.416789,0.432080857,NYSE,#N/A,United States
4056944,2009,33807711.71,5550.819193,2607.211515,0.428072738,NYSE,#N/A,United States
4056944,2010,51803913.95,5582.287723,3883.642998,0.418493719,NYSE,#N/A,United States
4056944,2011,73701786.09,6491.64609,4533.262837,0.399289346,NYSE,#N/A,United States
4056944,2012,58791139.09,6003.911707,3841.804815,0.392335601,NYSE,#N/A,United States
4056944,2013,51939053.67,5764.686977,3481.867591,0.386450567,NYSE,#N/A,United States
4056944,2014,56787924.87,6819.173433,3773.534778,0.453131333,NYSE,#N/A,United States
4056944,2015,48810100.63,6476.195397,3248.376147,0.430999289,NYSE,#N/A,United States
4056944,2016,46442683.14,22311346,3189.30663,1532.162203,NYSE,#N/A,United States
4056944,2017,42289369.49,54019,3017.005742,3.853820361,NYSE,#N/A,United States
4056944,2018,32705637.02,51054,2904.327947,4.533700382,NYSE,#N/A,United States
4056944,2019,17939860.01,1099865,1625.724,99.671,NYSE,#N/A,United States
4056944,2020,14708836.71,1068434,1386.71,100.729,NYSE,#N/A,United States
4056944,2021,15918069.27,1263267,1454.635,115.441,NYSE,#N/A,United States
4056949,2005,9502253.896,815.1933711,11055.90388,0.948480187,NYSE,#N/A,United States
4056949,2012,5515331.016,9779,5103.647854,9.049062008,NYSE,#N/A,United States
4056949,2013,7204570.309,10847,5781.1848,8.703990499,NYSE,#N/A,United States
4056949,2014,6128769.168,10479,4778.692954,8.170632976,NYSE,#N/A,United States
4056949,2015,5495518.742,10073,4326.195647,7.92969159,NYSE,#N/A,United States
4056949,2016,4840735.356,8074,3835.704154,6.39767991,NYSE,#N/A,United States
4056949,2017,3982402.159,9212.819,2951.051,6.827,NYSE,#N/A,United States
4056949,2018,3953209.055,7899,2883.971029,5.762530348,NYSE,#N/A,United States
4056949,2019,4028077.52,8979.669,2991.779,6.669,NYSE,#N/A,United States
4056949,2020,4919560.052,8425,3642.144,6.237,NYSE,#N/A,United States
4056949,2021,4268825.082,22967,2927.695,15.751,NYSE,#N/A,United States
4056951,2004,15520504.76,28512.70395,5352.418698,9.8329231,NYSE,#N/A,United States
4056951,2005,18506316.52,27053.41123,6193.639638,9.05415618,NYSE,#N/A,United States
4056951,2006,17904022.85,132966.9103,5263.183177,39.08781906,NYSE,#N/A,United States
4056951,2007,17920697.36,16804.80583,5085.876842,4.76918789,NYSE,#N/A,United States
4056951,2008,16547711.61,21070.87825,4914.56433,6.257915845,NYSE,#N/A,United States
4056951,2009,15719852.62,23319,4767.778681,7.072574643,NYSE,#N/A,United States
4056951,2010,15437638.28,22282,4730.181608,6.827333602,NYSE,#N/A,United States
4056951,2011,15462631.47,20927,4770.386763,6.456202746,NYSE,#N/A,United States
4056951,2012,14809509.05,19931,4485.278064,6.036397073,NYSE,#N/A,United States
4056951,2013,14398019.59,18466,4167.74819,5.345293328,NYSE,#N/A,United States
4056951,2014,14445311.25,16676,4137.123057,4.775990139,NYSE,#N/A,United States
4056951,2015,14908732.21,15978.83956,4265.191054,4.57133461,NYSE,#N/A,United States
4056951,2016,10113942.44,14301.95987,2890.785513,4.087812311,NYSE,#N/A,United States
4056951,2017,10774350.1,16400,3022.007177,4.599898578,NYSE,#N/A,United States
4056951,2018,12010284.98,13940,3253.71757,3.776498476,NYSE,#N/A,United States
4056951,2019,12300353.6,13880,3543.534847,3.998605674,NYSE,#N/A,United States
4056951,2020,11258712.16,116939,3138.77,32.601,NYSE,#N/A,United States
4056951,2021,11331187.78,131917,2978.885,34.68,NYSE,#N/A,United States
